1d,7d
39936.7089,49053.9668
39713.8903,49100.7727
39838.4925,48964.2208
40121.4797,49102.7285
40388.8146,48923.8087
40487.0237,49139.3509
40720.0573,49425.9665
41037.6989,49349.5627
41775.3137,47162.1729
41084.1831,46379.6979
41286.2569,45445.3043
40957.7263,44799.6116
40857.5863,44552.5988
40307.4069,43982.0794
40139.2428,43719.2862
40363.7586,43088.098
40766.5966,44369.5503
40340.2525,43473.0956
40903.0123,44346.2323
41145.6347,44777.8836
41650.3297,46138.225
42492.472,47046.2191
42880.4836,48450.4466
42424.7459,48670.0087
43182.9925,48850.1513
43642.4513,48891.8935
43753.6581,49177.4859
43799.2381,49317.3734
44186.9326,48129.1089
44300.1968,48413.7007
44587.4895,48408.8817
45536.6247,48932.9364
45345.4537,46878.4189
44925.141,45521.9164
45542.5049,44944.2065
45207.9448,44160.0298
44876.6773,44447.8258
44003.6995,43655.9545
43315.6897,43315.1699
42348.8922,43233.7746
42519.903,44059.4586
42229.8251,43667.0052
42803.3095,43751.0818
43517.3908,44587.6312
43944.2463,45669.4527
45562.1367,47181.61
46489.1595,48132.1237
46501.4056,47397.145
46589.2983,48283.8086
46801.7668,48164.0655
47001.0253,48437.6334
47077.8881,48560.4958
47603.6497,49052.4022
47457.6449,49196.6232
47670.5933,49729.7222
47195.6824,49373.5582
46233.2605,47305.743
44635.9697,46298.478
44319.5574,45078.0591
43888.0256,44154.3475
43651.9936,43816.3829
44072.0746,43889.9387
43507.0069,43110.5488
42546.374,43398.4159
42903.3256,42678.0484
42546.5515,42683.7133
42766.5153,42676.4563
43534.9448,44510.0097
45002.7022,44618.8654
46894.9838,44965.3146
48158.465,46181.25
47434.9343,46417.1835
48000.363,46961.054
48106.5921,47115.4083
48236.7101,47467.9484
47776.4061,47540.4708
48428.7619,48169.2525
48527.7713,48016.8917
48580.7181,48035.5314
48725.2553,48534.2131
47262.6186,46145.2062
45939.5342,45265.6797
44417.8222,44429.5734
43542.6132,43489.2208
43894.1092,42956.5532
43490.259,42307.233
42764.4506,42118.36
41646.4065,42440.444
42912.7409,43016.5152
42393.3738,43172.9454
42954.3435,43081.8457
44521.7288,43518.8288
45411.0563,43912.0573
46549.5254,44381.7299
47555.3299,44413.898
47725.8685,42385.3692
48204.2337,42996.6606
48507.7096,42962.0557
48674.1004,42999.509
48643.0351,42905.9993
48685.3867,43351.3776
48540.2806,43086.3257
48923.5469,42932.7242
49380.1922,42743.2836
48319.5995,42215.216
47273.5513,41779.0726
46306.3136,41992.4879
44672.5354,41596.7102
44610.4401,41034.9877
44100.0853,40822.0539
43641.7403,40399.9674
42960.5217,40304.1114
44009.9806,40162.0373
44093.6849,39903.8286
44033.2184,39377.8909
44905.0268,39455.2359
46090.4611,39641.8553
47395.4839,39904.7504
48138.7619,40335.1232
47757.2408,38819.9484
48474.1966,39160.4917
48724.3146,39357.3787
48916.7844,39256.5031
49209.5134,39375.7449
49446.0755,39571.1807
49310.2807,39389.851
49507.3539,39890.4834
50167.7158,40352.9456
49284.8782,40566.9414
47480.0684,40244.26
46203.2886,39654.3199
45415.6548,40701.3266
44999.1676,40971.3636
44628.4239,40051.2972
44239.1345,39717.9698
43465.4716,40347.9102
43770.519,39841.0559
43448.7521,39733.8892
44093.5647,39774.9728
44996.3898,39559.9364
45614.3899,39964.6629
46261.7722,40661.8251
47024.2414,40519.7486
47097.0868,39135.6296
47744.1889,39936.7089
48136.8375,39713.8903
48339.1947,39838.4925
48614.0046,40121.4797
49197.131,40388.8146
49428.4056,40487.0237
49339.4405,40720.0573
49495.3262,41037.6989
49743.4112,41775.3137
49906.5917,41084.1831
49640.5872,41286.2569
49166.7938,40957.7263
47700.4887,40857.5863
47263.442,40307.4069
46781.7307,40139.2428
46073.9017,40363.7586
45732.4387,40766.5966
45076.6053,40340.2525
44933.8736,40903.0123
45152.2984,41145.6347
45891.0557,41650.3297
46962.7529,42492.472
47484.6087,42880.4836
46759.2372,42424.7459
47742.7332,43182.9925
48003.7601,43642.4513
48159.4686,43753.6581
48379.1298,43799.2381
48634.0916,44186.9326
48969.9433,44300.1968
48848.9506,44587.4895
49100.7428,45536.6247
49541.5105,45345.4537
49279.3906,44925.141
48919.539,45542.5049
48466.1182,45207.9448
48364.0877,44876.6773
47430.4251,44003.6995
46803.1625,43315.6897
46380.2632,42348.8922
45828.5276,42519.903
45559.4933,42229.8251
46483.3797,42803.3095
46920.2333,43517.3908
47588.0659,43944.2463
48419.9006,45562.1367
48952.5772,46489.1595
48282.9007,46501.4056
48629.398,46589.2983
48932.5539,46801.7668
48788.4294,47001.0253
48980.6415,47077.8881
49014.2843,47603.6497
49102.8251,47457.6449
49073.1706,47670.5933
49968.0002,47195.6824
47826.1826,46233.2605
45569.4863,44635.9697
44478.1293,44319.5574
43703.6925,43888.0256
44367.4062,43651.9936
42978.4206,44072.0746
42786.2347,43507.0069
42113.3531,42546.374
42557.0591,42903.3256
