,연도,월,요일,노선명,전염병,승하차총승객수
566,2015,4,5,9,0,3039538.0
581,2015,4,6,1,0,2512490.0
582,2015,4,6,2,0,14249111.0
583,2015,4,6,3,0,5100870.0
584,2015,4,6,4,0,5653063.0
585,2015,4,6,5,0,5615712.0
586,2015,4,6,6,0,3249250.0
587,2015,4,6,7,0,6798346.0
588,2015,4,6,8,0,1523667.0
589,2015,4,6,9,0,2396269.0
604,2015,4,7,1,0,2524795.0
605,2015,4,7,2,0,14029561.0
606,2015,4,7,3,0,5053599.0
607,2015,4,7,4,0,5552321.0
608,2015,4,7,5,0,5555456.0
609,2015,4,7,6,0,3199112.0
610,2015,4,7,7,0,6760083.0
611,2015,4,7,8,0,1508232.0
612,2015,4,7,9,0,2394327.0
627,2015,5,1,1,0,2032405.0
628,2015,5,1,2,0,10255645.0
629,2015,5,1,3,0,3792217.0
630,2015,5,1,4,0,4354761.0
631,2015,5,1,5,0,3824911.0
632,2015,5,1,6,0,2438461.0
633,2015,5,1,7,0,4822330.0
634,2015,5,1,8,0,1107266.0
635,2015,5,1,9,0,1679125.0
650,2015,5,2,1,0,2928267.0
651,2015,5,2,2,0,14519197.0
652,2015,5,2,3,0,5548522.0
653,2015,5,2,4,0,6118579.0
654,2015,5,2,5,0,5365370.0
655,2015,5,2,6,0,3428546.0
656,2015,5,2,7,0,6586482.0
657,2015,5,2,8,0,1475914.0
658,2015,5,2,9,0,2315439.0
673,2015,5,3,1,0,3360903.0
674,2015,5,3,2,0,18358807.0
675,2015,5,3,3,0,6727657.0
676,2015,5,3,4,0,7439036.0
677,2015,5,3,5,0,7045395.0
678,2015,5,3,6,0,4186055.0
679,2015,5,3,7,0,8553893.0
680,2015,5,3,8,0,1942651.0
681,2015,5,3,9,0,3073924.0
696,2015,5,4,1,0,2572920.0
697,2015,5,4,2,0,14755006.0
698,2015,5,4,3,0,5258327.0
699,2015,5,4,4,0,5845651.0
700,2015,5,4,5,0,5682142.0
701,2015,5,4,6,0,3327115.0
702,2015,5,4,7,0,6937513.0
703,2015,5,4,8,0,1567660.0
704,2015,5,4,9,0,2440737.0
719,2015,5,5,1,0,2577220.0
720,2015,5,5,2,0,14646190.0
721,2015,5,5,3,0,5209357.0
722,2015,5,5,4,0,5832245.0
723,2015,5,5,5,0,5707964.0
724,2015,5,5,6,0,3333318.0
725,2015,5,5,7,0,6951483.0
726,2015,5,5,8,0,1561153.0
727,2015,5,5,9,0,2429275.0
742,2015,5,6,1,0,2347544.0
743,2015,5,6,2,0,12838523.0
744,2015,5,6,3,0,4637585.0
745,2015,5,6,4,0,5285383.0
746,2015,5,6,5,0,5076761.0
747,2015,5,6,6,0,2989473.0
748,2015,5,6,7,0,6196847.0
749,2015,5,6,8,0,1398175.0
750,2015,5,6,9,0,2138501.0
765,2015,5,7,1,0,2414868.0
766,2015,5,7,2,0,12611487.0
767,2015,5,7,3,0,4597573.0
768,2015,5,7,4,0,5221890.0
769,2015,5,7,5,0,4924330.0
770,2015,5,7,6,0,2909141.0
771,2015,5,7,7,0,5986601.0
772,2015,5,7,8,0,1398657.0
773,2015,5,7,9,0,2092611.0
788,2015,6,1,1,1,1177180.0
789,2015,6,1,2,1,6542243.0
790,2015,6,1,3,1,2293782.0
791,2015,6,1,4,1,2693348.0
792,2015,6,1,5,1,2414860.0
793,2015,6,1,6,1,1568742.0
794,2015,6,1,7,1,3127458.0
795,2015,6,1,8,1,723677.0
796,2015,6,1,9,1,1068950.0
811,2015,6,2,1,1,1629991.0
812,2015,6,2,2,1,8958506.0
813,2015,6,2,3,1,3174914.0
814,2015,6,2,4,1,3700909.0
815,2015,6,2,5,1,3216709.0
816,2015,6,2,6,1,2110744.0
817,2015,6,2,7,1,4130460.0
818,2015,6,2,8,1,931793.0
819,2015,6,2,9,1,1444408.0
834,2015,6,3,1,1,2306413.0
835,2015,6,3,2,1,13407447.0
836,2015,6,3,3,1,4629608.0
837,2015,6,3,4,1,5106067.0
838,2015,6,3,5,1,5033175.0
839,2015,6,3,6,1,3004869.0
840,2015,6,3,7,1,6177310.0
841,2015,6,3,8,1,1374196.0
